"","OTU","KS p.value","Wilcox p.value"
"55","Aspergillaceae",1,0.0409839473800305
"49","Capnocytophaga",1,0.0483513255849531
"104","Fretibacterium",1,0.0483513255849531
"65","Mitsuokella",1.65590451406405e-06,0.0554312294372919
"59","Morganella",0.999999999999996,0.0603087771183727
"144","Proteus",1,0.0628793701912324
"165","Cellulophaga",1,0.0644313339093993
"78","Megamonas",0,0.0719971346572548
"33","Centipeda",1,0.0882286297759201
"46","Mycoplasma",1,0.0882286297759201
"51","Acinetobacter",1,0.0882286297759201
"86","Dysgonomonas",1,0.0882286297759201
"109","Pediococcus",1,0.0882286297759201
"120","Cryptobacterium",1,0.0882286297759201
"134","Yersinia",1,0.0882286297759201
"135","Eggerthia",1,0.0882286297759201
"1","Methanosphaera",1,0.0889738896070429
"154","Acidaminococcus",1,0.0933554639979817
"84","Lactococcus",1,0.0985153305264022
"21","Clostridiaceae",1,0.137584199273376
"140","Burkholderia",1,0.144996549193911
"5","Pusillimonas",1,0.15105597700566
"173","Synergistes",1,0.15105597700566
"13","Erysipelotrichaceae",0,0.157395002421729
"14","Succinatimonas",1,0.165462241882706
"39","Saccharomycetaceae",1,0.165462241882706
"105","Methanocaldococcaceae",1,0.165462241882706
"111","Parascardovia",1,0.165462241882706
"119","Halomonas",1,0.165462241882706
"142","Treponema",1,0.165462241882706
"157","Kingella",1,0.165462241882706
"170","Corynebacterium",1,0.165462241882706
"31","Acidaminococcaceae",1,0.173372479967447
"54","Pedobacter",1,0.187335095752922
"81","Lachnoanaerobaculum",1,0.189950725768882
"82","Coriobacteriaceae",1,0.212555118558598
"30","Eggerthella",1,0.228165777684586
"64","Bifidobacterium",0,0.246608419807545
"34","Paraprevotella",1.33226762955019e-15,0.278099296332958
"2","Shigella",1,0.286256043738117
"9","Aerococcus",1,0.293695121497505
"108","Propionibacteriaceae",1,0.305827854579887
"15","Kocuria",1,0.31308464622824
"27","Anaerococcus",1,0.31308464622824
"112","Chromobacterium",1,0.31308464622824
"153","Rhodopseudomonas",1,0.31308464622824
"155","Pseudonocardia",1,0.31308464622824
"162","Rhodospirillum",1,0.31308464622824
"176","Saccharomonospora",1,0.31308464622824
"179","Bacteroidetes",1,0.326777595698539
"19","Kosakonia",1,0.329916166250865
"47","Bordetella",1,0.329916166250865
"48","Anoxybacillus",1,0.329916166250865
"61","Finegoldia",1,0.329916166250865
"75","Catonella",1,0.329916166250865
"76","Propionibacterium",1,0.329916166250865
"77","Helicobacter",1,0.329916166250865
"89","Nakaseomyces",1,0.329916166250865
"92","Bulleidia",1,0.329916166250865
"98","Ralstonia",1,0.329916166250865
"114","Pectobacterium",1,0.329916166250865
"136","Bartonella",1,0.329916166250865
"148","Serratia",1,0.329916166250865
"152","Shewanella",1,0.329916166250865
"161","Tannerella",1,0.329916166250865
"164","Filifactor",1,0.329916166250865
"166","Brevibacterium",1,0.329916166250865
"178","Sphingobacterium",1,0.329916166250865
"123","Cronobacter",1,0.335412538258298
"100","Plesiomonas",1,0.339784612617178
"143","Enterobacteriaceae",1,0.339784612617178
"79","Sutterella",3.64735209923417e-07,0.376068604793031
"117","Leuconostoc",0.994884437459688,0.390820490945591
"116","Anaerostipes",1,0.404159338214677
"22","Flavonifractor",1,0.450233240738847
"102","Methanobrevibacter",1,0.453903758247893
"113","Bacillus",1,0.472214244954958
"56","Comamonas",1,0.507494062514977
"106","Cetobacterium",0.982368616938113,0.537292729906081
"68","Turicibacter",1,0.555741603152541
"149","Peptoniphilus",1,0.592689646169887
"53","Pyramidobacter",1,0.604257784471897
"158","Citrobacter",3.64735209923417e-07,0.636122748150324
"118","Saccharopolyspora",1,0.641569476684916
"66","Gallionellaceae",1,0.664207148492525
"88","Deinococcus",1,0.682554780214783
"171","Sutterellaceae",4.15079082216607e-12,0.685170269195589
"69","Pseudomonas",1,0.700200559820823
"127","Sinobacteraceae",1,0.700200559820823
"43","Akkermansia",3.33066907387547e-16,0.801118327270742
"169","Butyrivibrio",0.000691477181686384,0.830385489558496
"44","Parvimonas",1,0.888655649047834
"67","Porphyromonas",1,0.898369472687823
"45","Catenibacterium",1,0.9335255191392
"126","Ruminococcaceae",2.11524464610591e-10,0.939918159439837
"177","Phascolarctobacterium",0.166927773786803,0.944302743566982
"37","Slackia",1,0.976477663784121
"72","Gardnerella",1,0.977290592495637
"11","Anaerofustis",1,0.980502164715611
"57","Chlorobium",1,0.980502164715611
"183","Granulicella",1,0.980502164715611
"141","Providencia",1,0.982691054350784
